lesson|word|Persian|definition|persian|example1|PersianExampleA|example2|PersianExampleB|example3|PersianExampleC|StoryTitle|StoryTitlePer|text|PerText
4|Eliminate|حذف کردن|get rid of; remove; omit|رها شدن از ، برداشتن ، حذف کردن|a. When the railroad tracks are raised, the danger of crossing will be eliminated.|وقتی ریل راه آهن بالا برده می شود، خطر تصادف رفع می شود|b. When figuring the cost of a car, don't eliminate such extras as air conditioning.|هنگام حساب کردن قیمت یک ماشین، لوازم اضافی مثل دستگاه تهویه هوا را حذف نکنید|c. If we were to eliminate all reclining chairs, no one would fall asleep while watching television.|اگر همه ی صندلی های راحتی را بیرون می بردیم، هیچ کس هنگام تماشای تلویزیون به خواب نمی رفت|Gulliver's Travels|سفر های گالیور|Jonathan Swift tried to show the smallness of people by writing the biography of Dr. Lemuel Gulliver. In one of his strangest adventures, Gulliver was shipwrecked. Drenched and weary, he fell asleep on the shore. In the morning, he found himself tied to pegs in the ground, and swarming over him were hundreds of little people six inches high. After a time he was allowed to stand, though he began to wobble from being bound so long. He was then marched through the streets, naturally causing a tumult wherever he went. Even the palace was not big enough for him to enter, nor could he kneel before the king and queen. But he did show his respect for them in another way. The king was dejected because he feared an invasion of Lilli put by Blefuscu, the enemy across the ocean. The reason for the war between the two tiny peoples would seem small and foolish to us. The rebels of Blefuscu were originally Lilliputians who would not abide by the royal decision to crack their eggs on the small end instead of on the larger end. Gulliver, obedient to the king's command, waded out into the water when the tide receded, and sticking a little iron hook into each of fifty warships, he pulled the entire enemy fleet to Lilliput. Gulliver later escaped from Lilliput when he realized the tiny king was really a tyrant with no charity in his heart. Oddly enough, the verdict of generations of readers has taken no heed of the author's intention in Gulliver)s Travels. Instead, while Lilliputians are still the symbol of small, narrow-minded people, Swift's savage attack upon humankind has become one of the best-loved children's classics.|"جاناتان سویفت تلاش کرد با نوشتن زندگینامه ی دکتر لموئل گالیور کوچکی انسانها را نشان دهد. گالیور در یکی از عجیب ترین ماجراهایش دچار کشتی شکستگی شد. خسته و خیس روی ساحل خوابش برد. صبح روز بعد خود را در حالی یافت که میخ های زمین بسته شده است و صدها انسان کوچک با شش اینچ قد بالای سر او ازدحام کرده اند.
پس از مدتی به او اجازه داده شد که بایستد, گرچه از اینکه برای مدتی طولانی بسته شده بود تلوتلو می خورد. سپس از میان خیابانها عبور داده شد و طبعا هر جا که می رفت بلوا و غوغا ایجاد می کرد. حتی برای او کاخ نیز به اندازه ی کافی بزرگ نبود که وارد شود و نیز نمی توانست در برابر شاه و ملکه زانو بزند. اما به شیوه ی دیگری احترامش را برای آنها نشان می داد.
شاه غمگین و ناراحت بود برای اینکه از حمله بلفسکو دشمن طرفت دیگر اقیانوس, به لیلی پوت هراس راشت. دلیل جنگ بین دو ملت کوچک برای ما احمقانه و کم اهمیت بنظر می رسد. شورشیان بلفسکو در اصل لیلی پوتی هایی بودند که از تصمیم پادشاه اطاعت نمی کردند که تخم مرغ هایشان را بجای شکستن از سر بزرگ از سر کوچک بشکنند. گالیور که مطیع فرمان پادشاه بود وقتیکه جزرو مد بر می گشت خودش را به آب انداخت و قلاب آهنی کوچکی را به هر یک از پنجاه کشتی جنگی  وصل کرد و سپس تمام ناوگان دشمن را به لیلی پوت کشاند. بعدها که گالیور پی برد حاکم کوچک در واقع حاکم ظالمی است که هیچ رحمی به دل ندارد از لیلی پوت گریخت.
عجیب اینجاست که قضاوت نسل ها خواننده به نیت مولف در سفرهای گالیور هیچ توجهی نکرده است. در عوض گرچه لیلی پوتی ها هنوز نماد انسانهای کوچک و کوته فکر هستند. حمله وحشیانه جاناتان سویفت به بشریت یکی از دوست داشتنی ترین آثار کلاسیک شده است."
4|Villain|آدم شرور ، مجرم|a very wicked person|آدم بسیار بد جنس و پست|a. A typical moving picture villain gets killed at the end.|شخص شرور فیلم ویژه در پایان فیلم کشته می شود|b. The villain concealed the corpse in the cellar.|آدم شرور جنازه را در زیر زمین مخفی کرد|c. When the villain fell down the well, everyone lived happily ever after.|وقتی آدم شرور در چاه افتاد از آن به بعد همه با خوشحالی زندگی کردند|Roast Beef on Rye|گوشت بریان با نان چاودار|"A little digging will unearth the roots of our language and habits. For instance, our word ""sandwich"" is derived from the Earl of Sandwich, who lived in the time of George Ill. This gentleman would not depart from the gambling table for hours on end. If his play happened to coincide with dinner, he would cancel his regular meal and order a slice of meat to be served to him between two pieces of bread. The biography of the Earl claims that we are his debtors for his discovery of the sandwich. Charles Dickens later used the phrase ""sandwich man"" to describe someone who walks about with a clearly legible message on placards hung on his chest and back. An example of a superstition is the fear of walking under a ladder. This must have been a contagious fear for it seems to have started with the ancient belief that spirits lived in trees or wood. ""Knocking on wood"" was a way of calling up the friendly spirit to protect one from harm. Today a member of the clergy might sneer at this custom, expecting that by this time such superstitions would have receded into the past with witches and ghosts. Another expression, ""giving someone the cold shoulder,"" has been traced to the Middle Ages, when a host would serve his guests a cold shoulder of mutton or beef instead of the customary hot food. This was a transparent attempt to show the guest he was no longer welcome. The host had thus found a more charitable yet effective way of expressing his feelings without using a scalding remark."|"کمی کاوش, ریشه های زبان و عادات ما را آشکار ساخت. مثلا واژه ی ساندویچ از کنت ساندویچ که در زمان سوم می زیست مشتق شده است. این اشراف زاده میز قمار خود را تا پایان بازی برای ساعتها ترک نمی کرد. اگر تصادفا بازی اش با شام همزمان می شد, غذای معمولی اش را لغو می کرد و شفارش تکه گوشتی را می داد که بین دو قطعه نان گذاشته شده بود. زندگینامه ی کنت نشان می دهد که کشف ساندویچ را مدیون او هستیم. بعدها چارلز دیکنز از عبارت مرد ساندویچی برای توصیف کسی استفاده کرد که با پیامی خوانا روی پلاکاردی که به سینه و پشتش آویزان شده است, به هر سو حرکت می کند.
ترس از راه رفتن زیر یک نردبان نمونه ای از خرافات است. این ترس یحتما مسری بوده است زیرا با این باور کهن که ارواح در درختان یا چوب زندگی می کنند شروع شده است, ضربه زدن به چوب یک راه فراخواندن روح مهربان برای حفاظت شخص از اسیب بود. امروزه روحانیون ممکن است این رسم را مورد تمسخر قرار دهند و انتظار دارند که چنین خرافاتی باید تا به حال به حمراه عجوزه ها و جادوگران به گذشته باز گشته باشند.
اصطلاح دیگر یعنی به کسی غذای سرد دادن ریشه اش به وسطی باز می گردد که میزبان,  مهمانان خود را بجای غذای گرم مرسوم با گوشت گوسفند و گاو پذیرایی می کرد. این کار تلاشی بود آشکار تا به مهمان نشان دهد که دیگر عزیز نیست. میزبان از این طریق بدون استفاده از کلمات تند, راحی مهربانانه تر و در عین حال موثر برای بیان احساساتش پیدا کرده بود."
4|Dense|فشرده ، انبوه|closely packed together; thick|متراکم ، غلیظ|a. The dense leaves on the trees let in a minimum of sunlight.|برگ های انبوه روی درختان مقدار کمی از نور خورشید را از خود عبور می دهند|b. We couldn't row because of the dense weeds in the lake.|به خاطر وجود علف های هرز انبوه در رودخانه نمی توانستیم پارو بزنیم|c. His keen knife cut through the dense jungle.|با چاقوی تیزش از میان جنگل انبوه راه عبور را باز کرد|Weight-watchers|مراقبان وزن|"Judging from the popularity of books on dieting, one would think an epidemic of obesity is sweeping the nation. Although being fat is not contagious, it is a condition not to be sneered at since it affects one-fourth of all Americans. Without magnifying the problem, professionals concerned with the nation's health, from chiropractors to medical specialists, agree that being overweight is a major obstacle to good health. They point out that people will readily see the need to ventilate their homes for fresh air to get rid of vermin that may cause disease, but they jeopardize their health by eating the wrong foods or the wrong amount of foods. Coincidentally, a recent survey of employment agencies showed that obesity has a negative effect on a person's chances of landing a job. While the job-seeker is asking about salary and pensions, the employer is thinking about the worker's healthand weight is a vital consideration when it comes to injuries, disease, and absenteeism. Some municipal jobs, in fact, do require an applicant to be within normal weight range, and one New York bank insists on an oral understanding that applicants will take off excess weight. As the Wall Street journal put it, ""Fat people often find slim pickings in the job market."""|"اگر فرد بر مبنای محبوبیت کتابهای پیرامون رژیم غذایی قضاوت کند, فکر می کند که بیماری همه گیری چاقی کشور را فرا گرفته است. گرچه چاق بودن مسری نیست, اما وضیعتی است که نیاید به آن خندید, زیرا این وضیعت یک چهارم کل آمریکایی ها را تحت تاثیر قرار داده است. متخصصین نگران درباره سلامت مردم آمریکا , از پشک مفصل پا تا پزشکان متخصص,  بدون بزرگ نمایی مسئله, بر این باورند که بیش از حد چاق بودن مانع اصلی سلامتی است. این افراد به این نکته اشاره می کنند که مردم برای رهایی از هشرات موذی که ممکن است بیماری ایجاد کنند این نیاز را درک می کنند که برای هوای تازه خانه هایشان را تهویه کنند, اما با خوردن نامناسب یا خوردن مقدار نامناسب غذا سلامتی شان را به خطر می اندازند.
اتفاقا بررسی اخیر سازمانهای کاریابی نشان داد که چاقی بر احتمال کاریابی شخص تاثیر منفی دارد. در حالیکه شخص جویای کار درباره حقوق و مستمری می پرسد, کارفرما به سلامت کارگر می اندیشد و زمانیکه پای مصدومیت, بیماری و غیبت گرایی به وسط می آید, وزن, یکی از ملاحظات حیاتی است.
در حقیقت برخی از مشاغل شهری متقاضی را ملزم می کنند که وزن طبیعی داشته باشند و یکی از بانکهای نیویورک به این درک شفاهی اصرار دارد که متقاضیان , وزن اضافی را بردارند. همانگونه که در مجله وال استریت آمده است: افراد چاق اغلب در بازار کار, گزینش کمی دارند."
4|Utilize|به کار بردن|make use of|استفاده کردن از|a. No one seems willing to utilize this vacant house.|به نظر نمی رسد هیچ کس بخواهد از این خانه ی خالی استفاده کند|b. The gardener was eager to utilize different flowers and blend them in order to beautify the borders.| باغبان مشتاق بود تا از همه گل ها استفاده کند و آن ها را جهت زیبا سازی مرزها با هم ترکیب کند|c. Does your mother utilize leftovers in her cooking?|آیا مادرت در غذا پختن از ته مانده ها استفاده می کند؟|Where Do We Go from Here?|از اینجا به کجا می رویم|When we grow too complacent with ourselves, along come writers who, wasp-like, sting us with reminders of the many problems we face-from rehabilitating former prisoners on parole to feeding the world's hungry population. Those authors do not see civilization rising almost vertically to greater and greater heights. Though a multitude of problems beset America, they nominate the large urban centers as potentially the most dangerous and requiring the most immediate attention. They see the cities as the morgues of dead hopes and lost ideals. We are preoccupied with trifles like the upholstery in our homes or personal matters like pension and benefits, but now we are called upon to contribute to our community on every vital level-moral, political, economic. We are not being urged to give up our beloved possessions, but our civilization can be saved only if we overcome the epidemic of indifference. We must begin to live with a new openness to others and a determination to become the best of which we are capable.|"هنگامیکه از خودمان بسیار احساس رضایت می کنیم نویسندگانی پیدا می شوند که زنبور وار با یادآوری بسیاری از مشکلاتی که با آن مواجه ایم ما را نیش می زنند. مشکلاتی نظیر توانبخشی زندانیان سابق که آزادی مشروط دارند تا تغذیه جمعیت گرسنه جهان این نویسندگان, تمدن را اینگونه نمی بینند که بطور عمودی درجات بیشتر و بیشتری داشته باشد. گرچه مشکلات متعددی آمریکا را تهدید می کند اما این نویسندگان مراکز گسترده ی شهری را بلقوه بسیار خطرناک نامیده و آنها را نیازمند توجه بسیار فوری می دانند. این نویسندگان شهر ها را سردخانه ی آرزوهای مرده و آرمانهای از دست رفته می بینند.
اذهان ما درگیر مسائل جزئی مثل رومبلی منازلمان یا مسائل شخصی نظیر مستمری و مزایا می باشد اما حالا از ما دعوت شده است خواسته می شود که در هر سطح حیاتی-اخلاقی, سیاسی و اقتصادی به جامعه مان کمک می کنیم. از ما نمی خواهند که از اموال مورد علاقه مان دست بکشیم. اما جامعه متمدن ما تنها بشرطی می تواند نجات داده شود که بیماری همه گیر بی تفاوتی غلبه کنیم. باید زندگی را با صراحت جدیدی نسبت به دیگران شروع کنیم و مصمم شویم که به بهترین شکل توانایی خود را نشان دهیم."
4|Humid|مرطوب|moist; damp|مرطوب ، نمناک|a. It was so humid in our classroom that we wished the school would buy an air conditioner.|کلاسمان آنقدر مرطوب بود که آرزو کردیم مدرسه یک دستگاه تهویه بخرد|b. New Yorkers usually complain in the summer of the humid air.|مردم نیویورک معمولاض در تابستان از هوای مرطوب شاکی اند|c. Most people believe that ocean air is quite humid.|بیشتر مردم بر این باورند که هوای اقیانوس کاملاض مرطوب است|A Time for Decision|زمان تصمیم گیری|"Carl Brown walked wearily from the bus stop, his thoughts preoccupied with the day's events. He had become accustomed to receiving the blame for his colleagues' mistakes. He could remain complacent when less deserving workers were promoted ahead of him. He could even maintain an air of indifference when the young man he had trained now snubbed him. What he could not endure was the ridicule of his fellow employees. His wrath flamed at the thought that his secret had been exposed. The legend of his honesty had died. Carl Brown pondered his next move. Should he resign or take even more drastic measures? His steps led past the wharf where the ships were unloading their cargoes of fruit. He looked into the dark waters and took a deep breath. No, this was not a sin that could be erased. He heaved a sigh and determined to amend his ways. Never again would he sign his ballot ""Carl Smith."""|"کارل براون که افکارش مشغول وقایع روزانه بود خسته از ایستگاه اتوبوس به راه افتاد. او عادت کرده بود که اشتباهات همکارانش را به گردن بگیرد. زمانیکه همکارانش که لیاقت کمتری داشتند پیش از او ترفیع می گرفتند می توتنست خونسرد بماند. حتی می توانست در برابر مردی که خود به او آموزش داده بود و حالا به او کم محلی می کرد, حالت بی تفاوتی خود را حفظ کند. آنچه را که نمی توتنست تحمل کند تمسخر همکارانش بود. خشمش با این فکر که رازش فاش شده است شعله ور شد. افسانه ی پاکی و صداقتش از بین رفت.
کارل براون روی حرکت و اقدام بعدی اش اندیشید. آیا باید استعفا می داد یا اقدامات شدیدتری را اتخاذ می کرد. قدم زنان از اسکه ای عبور کرد که کشتی ها در حال تخلیه بار های میوه بودند. به آبهای تیره نگاه کرد و نفس عمیقی کشید.نه این گناهی نبود که بتوان بخشید. آهی کشید و تصمیم گرفت مرامش را اصلاح کند. دیگر هرگز روی برگه رای نخواهد نوشت کارل اسمیت."
4|Theory|تئوری ، نظریه|explanation based on thought, observation, or reasoning|توضیح بر اساس اندیشه ، مشاهده یا استدلال ، نظریه ، فرضیه|a. Einstein's theory is really too difficult for the average person to understand.|فهم نظریه انیشتین برای افراد عادی واقعاً دشوار است|b. My uncle has a theory about the effect of weather on baseball batters.|عموی من نظریه ای راجع به تاثیر آب و هوا بر توپ زن های بازی بیس بال دارد|c. No one has advanced a theory explaining the beginnings of writing.|هیچ کس نطریه متقاعد کننده ای را که بیان گر شروع نوشتن باشد، ارائه نداده است||||
4|Descend|فرود آمدن|go or come down from a higher place to a lower level|پایین رفتن یا پایین آمدن از مکانی بالاتر به سطحی پایین تر |a. If we let the air out of a balloon, it will have to descend.|اگر هوای یک بالن را خالی کنیم، پایین می آید|b. The pilot, thinking his plane was in peril, descended quickly.|خلبان که فکر می کرد هواپیمایش در معرض خطر است سریعاً فرود آمد|c. Knowing her beau was waiting at the bottom of the staircase, Eleanor descended at once.|النور  که می دانست خاطر خواهش پایین پلکان منتظر است، فوراً پایین آمد||||
4|Circulate|گشتن ، دور زدن|go around; go from place to place or person to person|پخش شدن ، از مکانی به مکانی یا از شخصی به شخصی رفتن|a. A fan may circulate the air in summer, but it doesn't cool it.|پنکه در تابستان می تواند هوا را به گردش درآورد اما آن را خنک نمی کند|b. My father circulated among the guests at the party and made them feel comfortable.|پدرم در میان مهمان ها حرکت می کرد تا آنها احساس راحتی کنند|c. Hot water circulates through the pipes in the building, keeping the room warm.|عبور آب از میان لوله های ساختمان، اتاق را گرم نگه می دارد||||
4|Enormous|عظیم ، بزرگ|extremely large; huge|بی نهایت بزرگ ، عظیم|a. The enormous crab moved across the ocean floor in search of food.|خرچنگ عظیم لجثه ای در جستجوی غذا، ته اقیانوس از این سو به آن سو حرکت می کرد |b. Public hangings once drew enormous crowds.|اعدام های عمومی زمانی جمعیت بسیار زیادی را به سوی خود جلب می کرد|c. The gallant knight drew his sword and killed the enormous dragon.|شوالیه ی دلاور شمشیرش را بیرون کشید و اژدهای عظیم الجثه را کشت||||
4|Predict|پیش بینی کردن|tell beforehand|از پیش گفتن ، پیش گویی کردن|a. Weathermen can predict the weather correctly most of the time.|هواشناسان بیشتر اوقات می توانند به درستی وضع هوا را پیش بینی کنند|b. Who can predict the winner of the Superbowl this year?|چه کسی می تواند برنده جام برتر را پیش بینی کند؟|c. Laura thought she could predict what I would do, but she was wrong.|لورا   فکر کرد می تواند پیش بینی کند من چکار می کنم، اما او در اشتباه بود||||
4|Vanish|ناپدید شدن|disappear; disappear suddenly|محو شدن ، ناگهان ناپدید شدن|a. Even in California the sun will sometimes vanish behind a cloud.|حتی در کالیفرنیا گاهی اوقات خورشید پشت ابری ناپدید می شود|b. Not even a powerful witch can make a jealous lover vanish.|حتی یک جادوگر بزرگ هم نمی تواند یک عاشق حسود را غیب کند|c. Give him a week without a job and all his money will vanish.|یک هفته به او مهلت بده بیکار باشد و همه پول هایش ناپدید خواهد شد||||
5|Tradition|سنت|beliefs, opinions, and customs handed down from one generation to another|باور ها ، اعتقادات و رسومی که از نسلی به نسل دیگر منتقل می شود|a. The father tried to persuade his son that the tradition of marriage was important.|پدر سعی می کرد پسرش را متقاعد کند که سنت ازدواج حائز اهمیت است|b. All religions have different beliefs and traditions.|همه مذاهب باورها و سنت های متفاوتی دارند|c. As time goes on, we will eliminate traditions which are meaningless.|با پیشرفت زمان سنت های بی معنی را کنار می گذاریم||||
5|Rural|روستایی|in the country|روستایی|a. Tomatoes are less expensive at the rural farm stand.|گوجه فرنگی در غرفه کشاورزی روستایی ارزان تر است|b. Rural areas are not densely populated.|مناطق روستایی پر جمعیت نیستند|c. The rural life is much more peaceful than the city one.|زندگی روستایی بسیار آرامتر از مناطق شهری است||||
5|Burden|مسئولیت سنگین|what is carried; a load|آنچه حمل می شود ، بار|a. The burden of the country's safety is in the hands of the President.|مسئولیت امنیت کشور بر عهده رئیس جمهور است|b. Irma found the enormous box too much of a burden.|ایرما  دریافت که جعبه بزرگ برای او سنگین است|c. Ricky carried the burden throughout his college career.|ریکی  بار مسئولیت را در طول دوران دانشجویی به دوش می کشید||||
5|Campus|محوطه دانشگاه یا مدرسه|grounds of a college, university, or school|محوطه ی یک دانشکده ، دانشکده یا مدرسه|a. The campus was designed to utilize all of the college's buildings.|محوطه طوری طراحی شده بود که تمام ساختمان های کالج را در بر می گرفت|b. Jeff moved off campus when he decided it was cheaper to live at home.|جف  وقتی فهمید که زندگی در خانه ارزان تر است، خوابگاه دانشگاه را ترک کرد|c. I chose to go to Penn State because it has a beautiful campus.|من تصمیم دارم به ایالت  پن  بروم چون محوطه دانشگاهی زیبایی دارد||||
5|Majority|اکثریت|the larger number; greater part; more than half|تعداد بیشتر ، قسمت عمده ، بیش از نیم ، اکثریت|a. A majority of votes was needed for the bill to pass.|برای تصویب لایحه ، رای اکثریت لازم بود|b. The majority of people prefer to pay wholesale prices for meat.|بیشتر مردم ترجیح می دهند گوشت را به قیمت عمده فروشی خریداری کنند|c. In some countries, the government does not speak for the majority of the people.|در بعضی از کشورها ، دولت نماینده اکثریت مردم نیست||||
5|Assemble|تجمع ، مونتاژ کردن|gather together; bring together|گرد آمدن ، جمع آوری کردن|a. The rioters assembled outside the White House.|شورشیان خارج از کاخ سفید اجتماع کردند|b. I am going to assemble a model of a spacecraft.|می خواهم ماکت یک فضانورد را بسازم|c. All the people who had assembled for the picnic vanished when the rain began to fall.|تمام افرادی که برای رفتن به پیک نیک جمع شده بودند، با شروع باران ناپدید شدند||||
5|Explore|بررسی کردن|go over carefully; look into closely; examine|سیاحت کردن ، اکتشاف کردن ، بررسی کردن|a. Lawyer Spence explored the essential reasons for the crime.|وکیل  اسپنس   در مورد دلایل اصلی جنایت تحقیق کرد|b. The Weather Bureau explored the effects of the rainy weather.|هواشناسی اثرات هوای بارانی را بررسی کرد|c. Sara wanted to know if all of the methods for solving the problem had been explored.|سارا می خواست بداند آیا تمام روش های حل مساله را بررسی کرده اند||||
5|Topic|موضوع|subject that people think, write, or talk about|موضوعی که مردم درباره ی آن فکر می کنند ، می نویسند وی اصحبت می کنند ، مبحث |a. Predicting the weather is our favorite topic of conversation.|پیش بینی وضع هوا موضوع مورد علاقه صحبت ماست|b. Valerie only discussed topics that she knew well.|والری تنها درباره موضوعاتی که خوب میدانست، بحث می کرد|c. The speaker's main topic was how to eliminate hunger in this world.|موضوع اصلی سخنرانی، چگونگی از بین بردن گرسنگی در جهان بود||||
5|Debate|بحث|a discussion in which reasons for and against something are brought out|بحثی که در آن دلایل موافق و مخالف چیزی مطرح می شود|a. The debate between the two candidates was heated.|بحث میان دو نامزد بالا گرفت|b. Debate in the U.S. Senate lasted for five days.|بحث در مجلس سنای آمریکا پنج روز طول کشید|c. Instead of shrieking at each other, the students decided to have a debate on the topic.|دانش اموزان تصمیم گرفتند به جای فریاد کشیدن، در مورد موضوع با هم بحث کنند||||
5|Evade|شانه خالی کردن ، فرار کردن|get away from by trickery or cleverness|با کلک یا زرنگی از چیزی دور شدن|a. Juan tried to evade the topic by changing the subject.|جوان  با عوض کردن موضوع از بحث طفره رفت|b. In order to evade the police dragnet, Ernie grew a beard.|ارنی  برای فرار از دام پلیس، ریش گذاشت|c. The prisoner of war evaded questioning by pretending to be sick.|با تظاهر به بیماری، زندانی جنگی از بازجویی طفره رفت||||
5|Probe|جستجو|search into; examine thoroughly; investigate|کاوش کردن ، کاملاً برررسی کردن ، تحقیق کردن|a. The lawyer probed the man's mind to see if he was innocent.|وکیل ذهن مرد را کاوش کرد تا بفهمد آیا او بی گناه است|b. After probing the scientist's theory, we proved it was correct.|بعد از بررسی، ثابت کردیم که نظریه دانشمندان صحیح است|c. King Henry's actions were carefully probed by the noblemen.|اعمال شاه هنری را اشرافیان دقیقاً بررسی می کردند||||
5|Reform|اصلاح کردن|make better; improve by removing faults|بهتر کردن ، با رفع اشکالات بهبود بخشیدن|a. After the prison riot, the council decided to reform the correctional system.|بعد از شورش در زندان، شورا تصمیم گرفت نظام تادیب را اصلاح کند|b. Brad reformed when he saw that breaking the law was hurting people other than himself.|براد  وقتی دید قانون شکنی غیر از خودش، دیگران را نیز آزار می دهد، اصلاح شد|c. Only laws that force companies to reform will clear the dangerous vapors from our air.|فقط قوانینی که شرکت ها را مجبور به اصلاح می کنند، گازهای خطرناک را از هوای محیط ما پاک خواهند نمود||||
6|Approach|نزدیک شدن|come near or nearer to|نزدیک شدن به|a. The lawyers in the Simpson trial were often asked to approach the bench.|معمولاً از وکلای حاضر در محاکمه تقاضا می شد به جایگاه نزدیک شوند|b. Her beau kissed Sylvia when he approached her.|معشوقه  سیلویا  وقتی نزدیک شد او را بوسید|c. Ben approached the burden of getting a job with a new spirit.|بن  با روحیه جدیدی مشکل یافتن شغل را پذیرفت||||
6|Detect|متوجه شدن ، کشف کردن|find out; discover|پی بردن ، کشف کردن|a. Sam Spade detected that the important papers had vanished.|سام اسپید فهمید که برگه های مهم ناپدید شده اند|b. From her voice it was easy to detect that Ellen was frightened.|از صدای آلن به آسانی می شد فهمید که ترسیده است|c. We detected from the messy room that a large group of people had assembled there.|از اتاق بهم ریخته فهمیدیم که گروه بزرگی از مردم در آنجا بوده اند||||
6|Defect|نقص|fault; that which is wrong|عیب ، نقص|a. My Chevrolet was sent back to the factory because of a steering defect.|شورولت من بخاطر نقص فرمان، به کارخانه برگردانده شد|b. His theory of the formation of our world was filled with defects.|نظریه ی او درباره ی شکل گیری دنیای ما سرشار از اشتباه بود|c. The villain was caught because his plan had many defects.|خلافکار دستگیر شد چون نقشه اش اشکالات زیادی داشت||||
6|Employee|کارمند|a person who works for pay|شخصی که در ازای مزد کار می کند ، کارمند|a. The employees went on strike for higher wages.|کارگران برای اضافه دستمزد اعتصاب کردند|b. My boss had to fire many employees when meat became scarce.|وقتی گوشت کمیاب شد، رییس مجبور شد کارمندان زیادی را اخراج نماید|c. Joey wanted to go into business for himself and stop being an employee.|جوی می خواست برای خودش کار کند و دیگر کارمند نباشد||||
6|Neglect|غفلت کردن از|give too little care or attention to|خیلی کم اهمیت دادن یا توجه کردن به|a. The senator neglected to make his annual report to Congress.|سناتور از ارایه گزارش سالانه به کنگره، غفلت کرد|b. Bob's car got dirty when he neglected to keep it polished.|ماشین باب کثیف شد وقتی او از براق کردن آن غفلت کرد|c. It is essential that you do not neglect your homework.|خیلی مهم است که در انجام تکالیف غفلت نکنی||||
6|Deceive|فریب دادن|make someone believe as true something that is false; mislead|شخصی را وادار به باور چیزی دروغ کردن ، گمراه کردن|a. Atlas was deceived about the burden he had to carry.|اتلس  را در مورد باری که باید به دوش می کشید، فریب دادند|b. Virginia cried when she learned that her best friend had deceived her.|ویرجینیا  وقتی فهمید که بهترین دوستش او را فریب داده، گریه کرد|c. The villain deceived Chief White Cloud by pretending to be his friend.|خلاف کار،  چیف وایت کلارد را باتظاهر به دوستی فریب داد||||
6|Undoubtedly|بی تردید|certainly; beyond doubt|قطعاً ، بدون شک|a. Ray's team undoubtedly had the best debators in our county.|گروه ری بدون شک بهترین مناظره کنندگان کشور را در اختیار دارد|b. The pilgrims undoubtedly assembled to travel to Rome together.|زائران بدون شک جمع شده اند تا با هم به رم سفر کنند|c. If she didn't want to get into an argument, Valerie would have followed the majority undoubtedly.|اگر او وارد بحث نمی شد،  والری  بدون شک تابع اکثریت بود||||
6|Popular|عامه پسند|liked by most people|محبوب اکثر مردم ، پرطرفدار|a. The Beatles wrote many popular songs.|گروه بیتل ها ترانه های مشهور بسیاری نوشتند|b. At one time mini-skirts were very popular.|زمانی دامن های کوتاه بسیار پرطرفدار بود|c. Popular people often find it hard to evade their many friends.|برای افراد مشهور معمولاً سخت است که از دوستان بسیار زیاد خود، دوری کنند||||
6|Thorough|تمام عیار|being all that is needed; complete|کامل ، جامع|a. The police made a thorough search of the house after the crime had been reported.|بعد از اینکه جنایت گزارش شد، پلیس خانه را کاملاً بازرسی کرد|b. My science teacher praised Sandy for doing a thorough job of cleaning up the lab.|معلم علوم  سندی  را بخاطر تمیز کردن کامل ازمایشگاه، تحسین کرد|c. Mom decided to spend the day in giving the basement a thorough cleaning.|مادر تصمیم گرفت تمام روز را صرف تمیز کردن کامل زیرزمین کند||||
6|Client|موکل ، مشتری|person for whom a lawyer acts; customer|شخصی که وکیل برای او کار می کند ، موکل ، مشتری|a. The lawyer told her client that she could predict the outcome of his trial.|وکیل به موکلش گفت، می تواند نتایج دادگاه را پیش بینی کند|b. My uncle tried to get General Motors to be a client of his company.|عموی من سعی کرد توجه شرکت جنرال موتور را به عنوان مشتری شرکتش، جلب کند|c. If this restaurant doesn't improve its service, all its clients will vanish.|اگر این رستوران خدماتش را بهتر نکند، تمام مشتریان خود را از دست می دهد||||
6|Comprehensive|جامع ، مفصل|including much; covering completely|فراگیر ، جامع|a. After a comprehensive exam, my doctor said I was in good condition.|بعد از یک معاینه جامع، دکتر به من گفت وضعیت خوبی دارم|b. The engineer gave our house a thorough, comprehensive check-up before my father bought it.|قبل از اینکه پدرم خانه را بخرد، مهندس یک بازرسی کامل و جامع از آن بعمل آورد|c. Mrs. Silver wanted us to do a comprehensive study of Edgar Allan Poe.|خانم سیلور از ما خواست که مطالعه جامعی درباره ادگار آلن پو انجام دهیم||||
6|Defraud|پول گرفتن|take money, rights, etc., away by cheating|گرفتن پول و حقوق دیگران از راه کلاهبرداردی ، کلاهبرداری کردن از|a. My aunt saved thousands of dollars by defrauding the government.|عمه من با کلاهبرداری از دولت هزاران دلار پس انداز کرد|b. If we could eliminate losses from people who defraud the government, tax rates could be lowered.|اگر بتوانیم خسارت ناشی از کلاهبرداری افراد از دولت را نابود کنیم، نرخ مالیات می تواند کاهش یابد|c. By defrauding his friend, Dexter ruined a family tradition of honesty.|دکستر  با فریب دادن دوستش، سنت خانوادگی درستکاری را از بین برد||||
